id;titulo;sub_titulo;descripcion;orden;fecha_publicacion;fecha_expiracion;activa;etiqueta;images
1;AGP solution;zero administration object-oriented workforce;../fake-data/blob/hipster.txt;62495;2021-02-24;2021-02-24;true;USB copying;Rhode Island Berkshire
2;concept;invoice;../fake-data/blob/hipster.txt;11130;2021-02-24;2021-02-24;false;invoice Lari;National
3;Checking Account;withdrawal Money Market Account Towels;../fake-data/blob/hipster.txt;72763;2021-02-24;2021-02-24;false;Tasty grey;hacking
4;invoice Oregon;synthesize Global;../fake-data/blob/hipster.txt;10124;2021-02-24;2021-02-24;false;microchip global Unbranded;Forward Vista
5;attitude Extension;Cotton;../fake-data/blob/hipster.txt;33708;2021-02-24;2021-02-24;true;back-end International;Plastic Soft Investor
6;mobile web-enabled strategize;Functionality;../fake-data/blob/hipster.txt;14478;2021-02-24;2021-02-23;true;Steel SMTP Direct;Towels Unbranded Soft Car orchid
7;tertiary AI;Cambridgeshire success;../fake-data/blob/hipster.txt;99067;2021-02-24;2021-02-24;false;Credit Card Account Rustic Granite Gloves;Central Computer quantify
8;Common;Checking Account;../fake-data/blob/hipster.txt;74032;2021-02-24;2021-02-24;true;TCP;Cotton
9;grey withdrawal;auxiliary Bermudian Dollar (customarily known as Bermuda Dollar);../fake-data/blob/hipster.txt;20219;2021-02-24;2021-02-24;false;Identity Plastic Mountain;Wooden context-sensitive
10;Stravenue deposit Outdoors;system Security New Taiwan Dollar;../fake-data/blob/hipster.txt;64480;2021-02-24;2021-02-23;true;deliverables Generic Fresh Towels application;Gibraltar Pound Aruban Guilder
